Iteration	World	Goal reward list	Policy	Sensorial changes	C-nodes
25	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
26	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
27	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
28	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
29	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
30	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
31	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
32	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
33	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
34	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
35	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
36	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
37	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
38	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
39	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
40	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
41	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
42	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
43	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
44	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
45	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
46	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
47	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
48	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
49	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
50	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
51	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
52	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
53	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
54	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
55	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
56	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
57	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
58	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
59	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
60	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
61	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
62	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
63	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
64	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
65	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
66	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
67	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
68	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	False	0
69	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
70	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	False	0
71	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
72	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
73	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
74	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
75	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
76	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
77	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	False	0
78	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
79	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	False	0
80	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
81	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
82	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
83	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
84	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
